,short_name,long_name,age,overall,nationality,club,wage_eur,contract_valid_until,Cluster
1707,M. Jensen,Mathias Jensen,23,75,Denmark,Brentford,35000,2023.0,287
1708,F. Sacko,Falaye Sacko,24,75,Mali,Vitória Guimarães,8000,2022.0,210
1709,F. Krovinović,Filip Krovinović,23,75,Croatia,West Bromwich Albion,34000,2020.0,444
1710,K. Amian,Kelvin Amian,21,75,France,Toulouse Football Club,17000,2021.0,939
1711,J. Gnagnon,Joris Gnagnon,22,75,France,Sevilla FC,12000,2023.0,372
1712,F. Uduokhai,Felix Uduokhai,21,75,Germany,VfL Wolfsburg,25000,2022.0,767
1713,G. Konan,Ghislain Konan,23,75,Ivory Coast,Stade de Reims,21000,2022.0,89
1714,E. Cabaco,Erick Cabaco,24,75,Uruguay,Levante UD,17000,2022.0,439
1715,Y. Bissouma,Yves Bissouma,22,75,Mali,Brighton & Hove Albion,36000,2023.0,180
1716,Alfa Semedo,Alfa Semedo Esteves,21,75,Guinea Bissau,Nottingham Forest,26000,2020.0,113
1717,Luis Milla,Luis Milla Manzanares,24,75,Spain,CD Tenerife,9000,2022.0,237
1718,E. Martínez,Emiliano Martínez,26,75,Argentina,Arsenal,46000,2022.0,944
1719,E. Gnahoré,Eddy Gnahoré,25,75,France,Amiens SC,18000,2022.0,235
1720,L. Andersen,Lucas  Andersen,24,75,Denmark,Aalborg BK,13000,2024.0,520
1721,C. Chambers,Calum Chambers,24,75,England,Arsenal,49000,2022.0,159
1722,S. Johnstone,Sam Johnstone,26,75,England,West Bromwich Albion,29000,2022.0,163
1723,T. Foket,Thomas Foket,24,75,Belgium,Stade de Reims,21000,2023.0,939
1724,T. Kędziora,Tomasz Kędziora,25,75,Poland,Dynamo Kyiv,1000,2021.0,25
1725,L. Schaub,Louis Schaub,24,75,Austria,1. FC Köln,22000,2022.0,465
1726,J. McGinn,John McGinn,24,75,Scotland,Aston Villa,42000,2024.0,983
1727,B. Pearson,Ben Pearson,24,75,England,Preston North End,21000,2021.0,209
1728,E. Balanta,Éder Fabián Álvarez Balanta,26,75,Colombia,FC Basel 1893,23000,2020.0,809
1729,D. Gray,Demarai Gray,23,75,England,Leicester City,60000,2021.0,117
1730,E. Gutiérrez,Érick Gutiérrez,24,75,Mexico,PSV,15000,2023.0,496
1731,L. Olaza,Lucas René Olaza Catrofe,24,75,Uruguay,RC Celta,17000,2020.0,89
1732,A. Long,Aaron Long,26,75,United States,New York Red Bulls,8000,2021.0,510
1733,R. Karsdorp,Rick Karsdorp,24,75,Netherlands,Feyenoord,11000,2020.0,210
1734,Danilo,Danilo Barbosa da Silva,23,75,Brazil,OGC Nice,25000,2021.0,273
1735,T. Baumgartl,Timo Baumgartl,23,75,Germany,PSV,13000,2024.0,410
1736,M. Wolf,Marius Wolf,24,75,Germany,Borussia Dortmund,43000,2023.0,741
1737,R. Assalé,Roger Assalé,25,75,Ivory Coast,BSC Young Boys,23000,2021.0,449
1738,M. Coco,Marcus Coco,23,75,France,FC Nantes,21000,2023.0,457
1739,T. Minamino,南野 拓実,24,75,Japan,FC Red Bull Salzburg,29000,2021.0,313
1740,E. Ávila,Ezequiel Ávila,25,75,Argentina,CA Osasuna,29000,2023.0,250
1741,O. Idrissi,Oussama Idrissi,23,75,Morocco,AZ Alkmaar,11000,2022.0,59
1742,A. Nagy,Ádám Nagy,24,75,Hungary,Bristol City,31000,2022.0,407
1743,Miguel Silva,João Miguel Macedo da Silva,24,75,Portugal,Vitória Guimarães,7000,2022.0,189
1744,S. Ghoddos,Saman Ghoddos,25,75,Iran,Amiens SC,19000,2023.0,59
1745,F. Ricca,Federico Ricca Rostagnol,24,75,Uruguay,Club Brugge KV,17000,2023.0,217
1746,Bernardo,Bernardo Fernandes da Silva Junior,24,75,Brazil,Brighton & Hove Albion,33000,2022.0,114
1747,M. Zajc,Miha Zajc,25,75,Slovenia,Fenerbahçe SK,51000,2023.0,704
1748,Marcão,Marcos Nascimento Teixeira,23,75,Brazil,Galatasaray SK,42000,2021.0,377
1749,D. Bronn,Dylan Bronn,24,75,Tunisia,KAA Gent,16000,2021.0,148
1750,K. Malong,Pierre Kunde Malong,23,75,Cameroon,1. FSV Mainz 05,20000,2022.0,849
1751,Martín,Martín Aguirregabiria,23,75,Spain,Deportivo Alavés,17000,2022.0,922
1752,Gabriel,Gabriel Vasconelos Ferreira,26,75,Brazil,Lecce,13000,2021.0,181
1753,Rodrigo Ely,Rodrigo Ely,25,75,Brazil,Deportivo Alavés,19000,2021.0,426
1754,T. Kongolo,Terence Kongolo,25,75,Netherlands,Huddersfield Town,28000,2022.0,317
1755,Fede Vico,Federico Vico Villegas,24,75,Spain,Granada CF,17000,2021.0,29
1756,N. Chalobah,Nathaniel Chalobah,24,75,England,Watford,42000,2022.0,396
1757,V. Lazaro,Valentino Lazaro,23,75,Austria,Inter,39000,2023.0,608
1758,D. Cataldi,Danilo Cataldi,24,75,Italy,Lazio,35000,2020.0,704
1759,W. Troost-Ekong,William Troost-Ekong,25,75,Nigeria,Udinese,14000,2022.0,439
1760,D. Valdés,Diego Valdés,25,75,Chile,Santos Laguna,20000,2019.0,608
1761,R. Christie,Ryan Christie,24,75,Scotland,Celtic,40000,2022.0,983
1762,W. Hoedt,Wesley Hoedt,25,75,Netherlands,Southampton,40000,2022.0,377
1763,A. Martín Arias,Alexis Martín Arias,26,75,Argentina,Gimnasia y Esgrima La Plata,11000,2020.0,62
1764,S. Cristóforo,Sebastián Cristóforo,25,75,Uruguay,Fiorentina,38000,2021.0,238
1765,L. Ajorque,Ludovic Ajorque,25,75,France,RC Strasbourg Alsace,28000,2022.0,413
1766,A. Zeneli,Arbër Zeneli,24,75,Kosovo,Stade de Reims,23000,2024.0,405
1767,V. Muriqi,Vedat Muriqi,25,75,Kosovo,Fenerbahçe SK,55000,2020.0,413
1768,D. Bouanga,Denis Bouanga,24,75,Gabon,AS Saint-Étienne,25000,2023.0,366
1769,S. Thioub,Sada Thioub,24,75,Senegal,Angers SCO,19000,2023.0,869
1770,M. Pjaca,Marko Pjaca,24,75,Croatia,Juventus,71000,2021.0,596
1771,A. Mitriță,Alexandru Ionuț Mitriță,24,75,Romania,New York City FC,8000,2024.0,880
1772,G. Shoji,昌子 源,26,75,Japan,Toulouse Football Club,24000,2022.0,297
1773,M. Rog,Marko Rog,23,75,Croatia,Cagliari,25000,2020.0,70
1774,O. Kharbin,Omar Kharbin,25,75,Syria,Al Hilal,36000,2021.0,97
1775,Cláudio Falcão,Cláudio Falcão Santos,24,75,Brazil,CD Aves,10000,2022.0,484
1776,M. Rits,Mats Rits,25,75,Belgium,Club Brugge KV,20000,2022.0,638
1777,Borja Bastón,Borja González Tomás,26,75,Spain,Swansea City,30000,2020.0,550
1778,G. Imbula,Gilbert Gianelli Imbula Wanga,26,75,France,Stoke City,32000,2021.0,13
1779,F. Midtsjø,Fredrik Midtsjø,25,75,Norway,AZ Alkmaar,11000,2022.0,621
1780,Sergio Álvarez,Sergio Álvarez Díaz,27,75,Spain,SD Eibar,20000,2022.0,273
1781,L. González Pirez,Leandro Martín González Pírez,27,75,Argentina,Atlanta United,8000,2019.0,148
1782,A. Gomis,Alfred Benjamin Gomis,25,75,Senegal,SPAL,10000,2022.0,467
1783,S. Sturaro,Stefano Sturaro,26,75,Italy,Genoa,17000,2021.0,484
1784,K. Stafylidis,Konstantinos Stafylidis,25,75,Greece,TSG 1899 Hoffenheim,26000,2023.0,114
1785,B. Zuculini,Bruno Zuculini,26,75,Argentina,River Plate,20000,2022.0,113
1786,P. Gazzaniga,Paulo Dino Gazzaniga,27,75,Argentina,Tottenham Hotspur,50000,2022.0,944
1787,M. Krmenčík,Michael Krmenčík,26,75,Czech Republic,Viktoria Plzeň,1000,2021.0,740
1788,J. Willems,Jetro Willems,25,75,Netherlands,Newcastle United,31000,2020.0,250
1789,S. March,Solly March,24,75,England,Brighton & Hove Albion,36000,2022.0,464
1790,T. Rogić,Tom Rogić,26,75,Australia,Celtic,46000,2023.0,551
1791,D. Pelkas,Dimitrios Pelkas,25,75,Greece,PAOK,1000,2021.0,228
1792,Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,26,75,Angola,Club Brugge KV,19000,2022.0,608
1793,R. Quaison,Robin Quaison,25,75,Sweden,1. FSV Mainz 05,26000,2021.0,882
1794,A. Touré,Abdoulaye Touré,25,75,France,FC Nantes,21000,2022.0,233
1795,M. Konaté,Pape Moussa Konaté,26,75,Senegal,Amiens SC,20000,2021.0,73
1796,K. Möhwald,Kevin Möhwald,25,75,Germany,SV Werder Bremen,24000,2021.0,917
1797,J. Haberer,Janik Haberer,25,75,Germany,SC Freiburg,22000,2020.0,396
1798,Kwon Chang Hoon,권창훈 权昶勋,25,75,Korea Republic,SC Freiburg,22000,2023.0,972
1799,N. Stanciu,Nicolae Claudiu Stanciu,26,75,Romania,SK Slavia Praha,1000,2023.0,668
1800,Ivan Cavaleiro,Ivan Ricardo Neves Abreu Cavaleiro,25,75,Portugal,Fulham,41000,2020.0,670
1801,Medrán,Álvaro Medrán Just,25,75,Spain,Valencia CF,28000,2020.0,704
1802,N. Castillo,Nicolás Castillo,26,75,Chile,Club América,50000,2022.0,829
1803,A. Tameze,Adrien Tameze,25,75,France,OGC Nice,28000,2021.0,396
1804,H. Villalba,Héctor Villalba,24,75,Paraguay,Atlanta United,8000,2019.0,298
1805,L. Menossi,Lucas Menossi,25,75,Argentina,San Lorenzo de Almagro,17000,2023.0,287
1806,Jason,David Jason Remeseiro Salgueiro,24,75,Spain,Valencia CF,26000,2022.0,668
1807,Álex Moreno,Alexandre Moreno Lopera,26,75,Spain,Rayo Vallecano,8000,2021.0,328
1808,L. Lerager,Lukas Reiff Lerager,25,75,Denmark,Genoa,16000,2024.0,139
1809,N. Vukčević,Nikola Vukčević,27,75,Montenegro,Levante UD,20000,2022.0,790
1810,A. Conti,Andrea Conti,25,75,Italy,Milan,32000,2022.0,70
1811,J. Rodríguez,Jonathan Javier Rodríguez Portillo,25,75,Uruguay,Cruz Azul,25000,2019.0,724
1812,Yan Junling,颜骏凌,28,75,China PR,Shanghai SIPG FC,13000,2020.0,905
1813,P. Tau,Percy Tau,25,75,South Africa,Club Brugge KV,22000,2020.0,80
1814,V. Janssen,Vincent Janssen,25,75,Netherlands,Monterrey,38000,2024.0,552
1815,C. Borja,Cristian Alexis Borja González,26,75,Colombia,Sporting CP,12000,2024.0,492
1816,João Novais,João Pedro Barradas Novais,25,75,Portugal,SC Braga,13000,2023.0,428
1817,C. Fassnacht,Christian Fassnacht,25,75,Switzerland,BSC Young Boys,21000,2021.0,457
1818,Rodrigo,Rodrigo Alves Soares,26,75,Brazil,PAOK,1000,2022.0,720
1819,V. Barkas,Vasilios Barkas,25,75,Greece,AEK Athens,1000,2022.0,710
1820,V. Buyalskyi,Vitaliy Buyalskyi,26,75,Ukraine,Dynamo Kyiv,1000,2023.0,0
1821,N. Etheridge,Neil Etheridge,29,75,Philippines,Cardiff City,21000,2021.0,986
1822,Z. Labyad,Zakaria Labyad,26,75,Morocco,Ajax,18000,2022.0,262
1823,J. Svensson,Jonas Svensson,26,75,Norway,AZ Alkmaar,10000,2021.0,237
1824,C. Biraghi,Cristiano Biraghi,26,75,Italy,Fiorentina,40000,2021.0,412
1825,K. Djidji,Lévy Koffi Djidji,26,75,Ivory Coast,Torino,34000,2021.0,316
1826,D. Bessa,Daniel Bessa,26,75,Italy,Hellas Verona,17000,2021.0,689
1827,A. Duncan,Joseph Alfred Duncan,26,75,Ghana,Sassuolo,44000,2022.0,790
1828,J. Brenet,Joshua Brenet,25,75,Netherlands,TSG 1899 Hoffenheim,26000,2022.0,420
1829,André Ramalho,André Ramalho Silva,27,75,Brazil,FC Red Bull Salzburg,30000,2022.0,234
1830,R. Haps,Ridgeciano Haps,26,75,Netherlands,Feyenoord,13000,2022.0,89
1831,L. Magallán,Lisandro Magallán,25,75,Argentina,Ajax,16000,2023.0,439
1832,C. Mathenia,Christian Mathenia,27,75,Germany,1. FC Nürnberg,11000,2024.0,376
1833,Jemerson,Jemerson de Jesus Nascimento,26,75,Brazil,AS Monaco,30000,2020.0,970
1834,L. Kalinić,Lovre Kalinić,29,75,Croatia,Aston Villa,38000,2023.0,710
1835,K. Laifis,Konstantinos Laifis,26,75,Cyprus,Standard de Liège,15000,2022.0,624
1836,J. Lössl,Jonas Lössl,30,75,Denmark,Everton,46000,2022.0,376
1837,C. Clark,Ciaran Clark,29,75,Republic of Ireland,Newcastle United,34000,2021.0,377
1838,M. Kelly,Martin Kelly,29,75,England,Crystal Palace,44000,2021.0,166
1839,S. Dewaest,Sébastien Dewaest,28,75,Belgium,KRC Genk,15000,2023.0,212
1840,T. Kádár,Tamás Kádár,29,75,Hungary,Dynamo Kyiv,1000,2023.0,382
1841,M. Günok,Fehmi Mert Günok,30,75,Turkey,Medipol Başakşehir FK,24000,2020.0,181
1842,O. Elabdellaoui,Omar Elabdellaoui,27,75,Norway,Olympiacos CFP,1000,2021.0,720
1843,V. Berisha,Valon Berisha,26,75,Kosovo,Lazio,40000,2023.0,606
1844,F. Kainz,Florian Kainz,26,75,Austria,1. FC Köln,25000,2022.0,431
1845,J. Tavernier,James Tavernier,27,75,England,Rangers FC,42000,2022.0,720
1846,J. Drmić,Josip Drmić,26,75,Switzerland,Norwich City,46000,2022.0,642
1847,R. Falk,Rasmus Falk Jensen,27,75,Denmark,FC København,20000,2022.0,606
1848,N. Sansone,Nicola Sansone,27,75,Italy,Bologna,32000,2023.0,6
1849,S. Armstrong,Stuart Armstrong,27,75,Scotland,Southampton,46000,2022.0,741
1850,Jesé,Jesé Rodríguez Ruiz,26,75,Spain,Paris Saint-Germain,64000,2021.0,262
1851,P. Dummett,Paul Dummett,27,75,Wales,Newcastle United,32000,2022.0,982
1852,B. Sarr,Bouna Sarr,27,75,France,Olympique de Marseille,28000,2022.0,70
1853,P. Klement,Phillipp Klement,26,75,Germany,VfB Stuttgart,26000,2023.0,972
1854,A. Ring,Alexander Ring,28,75,Finland,New York City FC,8000,2023.0,70
1855,S. Lung,Silviu Lung,30,75,Romania,Kayserispor,11000,2020.0,467
1856,S. Kryvtsov,Sergiy Kryvtsov,28,75,Ukraine,Shakhtar Donetsk,1000,2021.0,433
1857,P. Mantalos,Petros Mantalos,27,75,Greece,AEK Athens,1000,2022.0,668
1858,S. Mitrović,Stefan Mitrović,29,75,Serbia,RC Strasbourg Alsace,25000,2022.0,66
1859,S. Larsson,Sam Larsson,26,75,Sweden,Feyenoord,15000,2021.0,931
1860,C. Günter,Christian Günter,26,75,Germany,SC Freiburg,21000,2022.0,988
1861,Fran Sol,Francisco Sol Ortiz,27,75,Spain,Dynamo Kyiv,1000,2023.0,503
1862,A. Hegazi,Ahmed Hegazi,28,75,Egypt,West Bromwich Albion,38000,2022.0,712
1863,Carles Gil,Carles Gil Pareja,26,75,Spain,New England Revolution,9000,2023.0,630
1864,G. Fernández,Guillermo Matías Fernández,27,75,Argentina,Cruz Azul,24000,2023.0,70
1865,J. Mojica,Johan Andrés Mojica Palacio,26,75,Colombia,Girona FC,10000,2022.0,464
1866,Y. Sabaly,Youssouf Sabaly,26,75,Senegal,FC Girondins de Bordeaux,26000,2021.0,559
1867,A. Jahanbakhsh,Alireza Jahanbakhsh,25,75,Iran,Brighton & Hove Albion,44000,2023.0,366
1868,M. Mevlja,Miha Mevlja,29,75,Slovenia,Slovenia,0,,410
1869,H. Traoré,Hamari Traoré,27,75,Mali,Stade Rennais FC,33000,2021.0,720
1870,Zaldúa,Joseba Zaldúa Bengoetxea,27,75,Spain,Real Sociedad,23000,2023.0,349
1871,S. Sydorchuk,Serhiy Sydorchuk,28,75,Ukraine,Dynamo Kyiv,1000,2023.0,139
1872,A. Roa,Andrés Felipe Roa Estrada,26,75,Colombia,Independiente,20000,2019.0,608
1873,J. Lolley,Joe Lolley,26,75,England,Nottingham Forest,40000,2023.0,390
1874,Y. Mutō,武藤 嘉紀,26,75,Japan,Newcastle United,39000,2022.0,596
1875,Borja Valle,Borja Valle Balonga,26,75,Spain,Deportivo de La Coruña,11000,2020.0,596
1876,K. Onisiwo,Karim Onisiwo,27,75,Austria,1. FSV Mainz 05,28000,2022.0,516
1877,J. Ito,伊东 纯也,26,75,Japan,KRC Genk,17000,2021.0,59
1878,D. Brašanac,Darko Brašanac,27,75,Serbia,CA Osasuna,28000,2022.0,587
1879,L. Masopust,Lukáš Masopust,26,75,Czech Republic,SK Slavia Praha,1000,2022.0,72
1880,C. Pizarro,Claudio Miguel Pizarro Bossio,40,75,Peru,SV Werder Bremen,20000,2020.0,570
1881,A. McGregor,Allan McGregor,37,75,Scotland,Rangers FC,22000,2020.0,467
1882,A. Boruc,Artur Boruc,39,75,Poland,Bournemouth,23000,2020.0,122
1883,Jonatan Soriano,Jonatan Soriano Casas,33,75,Spain,Al Hilal,38000,2020.0,428
1884,R. Cohade,Renaud Cohade,34,75,France,FC Metz,18000,2020.0,587
1885,J. Hansen,Jesper Hansen,34,75,Denmark,FC Midtjylland,16000,2020.0,467
1886,S. Brown,Scott Brown,34,75,Scotland,Celtic,42000,2021.0,773
1887,S. Francis,Simon Francis,34,75,England,Bournemouth,49000,2020.0,729
1888,W. Morgan,Wes Morgan,35,75,Jamaica,Leicester City,41000,2020.0,530
1889,L. Rigoni,Luca Rigoni,34,75,Italy,Parma,37000,2022.0,778
1890,W. Caballero,Wilfredo Daniel Caballero,37,75,Argentina,Chelsea,37000,2020.0,315
1891,J. Morel,Jérémy Morel,35,75,Madagascar,Stade Rennais FC,23000,2020.0,580
1892,Rafael,Rafael  de Andrade Bittencourt Pinheiro,37,75,Brazil,Cagliari,14000,2020.0,122
1893,M. Barovero,Marcelo Barovero,35,75,Argentina,Monterrey,18000,2023.0,786
1894,P. Zabaleta,Pablo Javier Zabaleta Girod,34,75,Argentina,West Ham United,57000,2020.0,587
1895,M. Barbosa,Mariano Damián Barbosa,34,75,Argentina,Villarreal CF,21000,2020.0,878
1896,G. Gönül,Gökhan Gönül,34,75,Turkey,Beşiktaş JK,48000,2020.0,720
1897,L. Podolski,Lukas Podolski,34,75,Germany,Vissel Kobe,9000,2019.0,134
1898,R. Özcan,Ramazan Özcan,35,75,Austria,Bayer 04 Leverkusen,23000,2020.0,662
1899,R. Sambueza,Rubens Omar Óscar Sambueza,35,75,Argentina,Pachuca,15000,2020.0,496
1900,M. Wolff Eikrem,Magnus  Wolff Eikrem,28,75,Norway,Molde FK,9000,2022.0,704
1901,J. Corona,José de Jesús Corona Rodríguez,38,75,Mexico,Cruz Azul,12000,2020.0,467
1902,J. Valdivia,Jorge Luís Valdivia Toro,35,75,Chile,Colo-Colo,7000,2019.0,462
1903,S. Dann,Scott Dann,32,75,England,Crystal Palace,42000,2020.0,500
1904,Salva Sevilla,Salvador Sevilla López,35,75,Spain,RCD Mallorca,18000,2021.0,774
1905,A. Romao,Jacques-Alaixys Romao,35,75,Togo,Stade de Reims,17000,2021.0,587
1906,V. Behrami,Valon Behrami,34,75,Switzerland,FC Sion,27000,2020.0,961
1907,F. Haroun,Faris Haroun,33,75,Belgium,Royal Antwerp FC,12000,2020.0,139
1908,L. Baines,Leighton Baines,34,75,England,Everton,57000,2020.0,687
1909,D. Congré,Daniel Congré,34,75,France,Montpellier HSC,26000,2020.0,876
1910,Sergio,Sergio Álvarez Conde,32,75,Spain,RC Celta,16000,2020.0,878
1911,L. Refaelov,Lior Refaelov,33,75,Israel,Royal Antwerp FC,13000,2021.0,116
1912,J. Błaszczykowski,Jakub Błaszczykowski,33,75,Poland,Wisła Kraków,9000,2020.0,600
1913,G. Cabral,Gustavo Daniel Cabral Cáceres,33,75,Argentina,Pachuca,19000,2024.0,531
1914,Cássio,Cássio Albuquerque dos Anjos,38,75,Brazil,Al Taawoun,11000,2020.0,905
1915,G. Castro,Gonzalo Castro Randon,32,75,Germany,VfB Stuttgart,26000,2021.0,664
1916,N. Domingo,Nicolás Mario Domingo,34,75,Argentina,Independiente,18000,2020.0,388
1917,H. Rodallega,Hugo Rodallega Martínez,33,75,Colombia,Denizlispor,26000,2020.0,785
1918,Zeca,José Carlos Gonçalves Rodrigues,30,75,Greece,FC København,20000,2021.0,454
1919,Barragán,Antonio Barragán Fernández,32,75,Spain,Real Betis,20000,2020.0,484
1920,D. Randolph,Darren Randolph,32,75,Republic of Ireland,Middlesbrough,24000,2021.0,189
1921,W. Hennessey,Wayne  Hennessey,32,75,Wales,Crystal Palace,34000,2021.0,315
1922,L. De Silvestri,Lorenzo De Silvestri,31,75,Italy,Torino,37000,2020.0,113
1923,D. Buonanotte,Diego Mario Buonanotte Rende,31,75,Argentina,Universidad Católica,13000,2020.0,29
1924,Mario Suárez,Mario Suárez Mata,32,75,Spain,Rayo Vallecano,9000,2022.0,473
1925,C. Erkin,Caner Erkin,30,75,Turkey,Beşiktaş JK,48000,2020.0,496
1926,H. Ayala,Hugo Ayala Castro,32,75,Mexico,Tigres U.A.N.L.,53000,2024.0,93
1927,M. Fritzler,Matías Lionel Fritzler,32,75,Argentina,Club Atlético Colón,13000,2020.0,282
1928,A. Begović,Asmir Begović,32,75,Bosnia Herzegovina,Bournemouth,39000,2020.0,184
1929,A. Surman,Andrew Surman,32,75,England,Bournemouth,53000,2020.0,934
1930,A. Mariappa,Adrian Mariappa,32,75,Jamaica,Watford,49000,2020.0,876
1931,M. Fernández,Matías Ariel Fernández Fernández,33,75,Chile,Junior FC,5000,2024.0,689
1932,S. Kums,Sven Kums,31,75,Belgium,RSC Anderlecht,19000,2022.0,664
1933,N. Dirar,Nabil Dirar,33,75,Morocco,Fenerbahçe SK,53000,2020.0,741
1934,Manuel da Costa,Manuel Marouan da Costa Trinidade,33,75,Morocco,Al Ittihad,32000,2021.0,887
1935,Kiko Casilla,Francisco Casilla Cortés,32,75,Spain,Leeds United,40000,2023.0,905
1936,M. Harnik,Martin Harnik,32,75,Austria,SV Werder Bremen,28000,2021.0,571
1937,P. Cissé,Papiss Demba Cissé,34,75,Senegal,Alanyaspor,16000,2020.0,642
1938,S. Okaka,Stefano Okaka Chuka,29,75,Italy,Watford,60000,2021.0,350
1939,O. Kamara,Ola  Williams Kamara,29,75,Norway,DC United,10000,2021.0,68
1940,A. Taarabt,Adel Taarabt,30,75,Morocco,SL Benfica,13000,2022.0,462
1941,O. Cardozo,Oscar René Cardozo Marín,36,75,Paraguay,Paraguay,0,,932
1942,D. N'Doye,Dame N'Doye,34,75,Senegal,FC København,22000,2020.0,829
1943,T. Kraft,Thomas Kraft,30,75,Germany,Hertha BSC,19000,2020.0,563
1944,W. Vainqueur,William Vainqueur,30,75,France,Toulouse Football Club,24000,2020.0,113
1945,D. Vukovic,Danny Vukovic,34,75,Australia,KRC Genk,12000,2021.0,592
1946,O. Akhmedov,Odil Akhmedov,31,75,Uzbekistan,Shanghai SIPG FC,17000,2019.0,396
1947,A. Epureanu,Alexandru Epureanu,32,75,Moldova,Medipol Başakşehir FK,30000,2020.0,165
1948,A. Ranocchia,Andrea Ranocchia,31,75,Italy,Inter,45000,2021.0,500
1949,M. Tekdemir,Mahmut Tekdemir,31,75,Turkey,Medipol Başakşehir FK,30000,2021.0,708
1950,A. Carroll,Andy Carroll,30,75,England,Newcastle United,39000,2020.0,753
1951,C. Sánchez,Carlos Sánchez,33,75,Colombia,West Ham United,57000,2020.0,961
1952,H. Nordtveit,Håvard Nordtveit,29,75,Norway,TSG 1899 Hoffenheim,29000,2022.0,792
1953,F. Bartels,Fin Bartels,32,75,Germany,SV Werder Bremen,25000,2020.0,116
1954,S. Grytebust,Sten Michael Grytebust,29,75,Norway,FC København,16000,2022.0,905
1955,K. Mitroglou,Konstantinos Mitroglou,31,75,Greece,Galatasaray SK,58000,2020.0,413
1956,J. Hogg,Jonathan Hogg,30,75,England,Huddersfield Town,30000,2021.0,733
1957,S. Langkamp,Sebastian Langkamp,31,75,Germany,SV Werder Bremen,23000,2020.0,125
1958,L. Koné,Lamine Koné,30,75,Ivory Coast,RC Strasbourg Alsace,24000,2021.0,439
1959,C. Benteke,Christian Benteke Liolo,28,75,Belgium,Crystal Palace,52000,2020.0,706
1960,R. Thomas,Romain Thomas,31,75,France,Angers SCO,20000,2022.0,594
1961,Y. Sankharé,Younousse Sankharé,29,75,Senegal,FC Girondins de Bordeaux,30000,2021.0,790
1962,M. Darmian,Matteo Darmian,29,75,Italy,Manchester United,79000,2020.0,709
1963,R. van Wolfswinkel,Ricky van Wolfswinkel,30,75,Netherlands,FC Basel 1893,27000,2020.0,642
1964,L. Montes,Luis Arturo Montes Jiménez,33,75,Mexico,Club León,28000,2022.0,465
1965,J. Allen,Joe Allen,29,75,Wales,Stoke City,34000,2022.0,237
1966,D. Gosling,Dan Gosling,29,75,England,Bournemouth,55000,2021.0,778
1967,I. Traoré,Ismaël Traoré,32,75,Ivory Coast,Angers SCO,20000,2020.0,266
1968,R. Cota,Rodolfo Cota Robles,31,75,Mexico,Club León,20000,2022.0,181
1969,K. Gibbs,Kieran  Gibbs,29,75,England,West Bromwich Albion,38000,2021.0,464
1970,O. Norwood,Oliver Norwood,28,75,Northern Ireland,Sheffield United,34000,2021.0,238
1971,M. Fabián,Marco Jhonfai Fabián De La Mora,29,75,Mexico,Philadelphia Union,9000,2022.0,116
1972,M. Ritchie,Matt Ritchie,29,75,Scotland,Newcastle United,34000,2021.0,82
1973,B. Espinosa,Bernardo José Espinosa Zúñiga,29,75,Colombia,RCD Espanyol,24000,2020.0,806
1974,A. Paloschi,Alberto Paloschi,29,75,Italy,SPAL,16000,2021.0,571
1975,J. Hernández,Jorge Daniel Hernández Govea,30,75,Mexico,Pachuca,19000,2022.0,565
1976,V. Vasin,Viktor Vasin,30,75,Russia,PFC CSKA Moscow,1000,2021.0,816
1977,M. Isla,Mauricio Aníbal Isla Isla,31,75,Chile,Fenerbahçe SK,48000,2020.0,70
1978,M. Phillips,Matt Phillips,28,75,Scotland,West Bromwich Albion,41000,2020.0,668
1979,J. McCarthy,James McCarthy,28,75,Republic of Ireland,Crystal Palace,44000,2022.0,961
1980,M. Wakaso,Mubarak Wakaso,28,75,Ghana,Deportivo Alavés,23000,2020.0,635
1981,V. Babacan,Volkan Babacan,30,75,Turkey,Medipol Başakşehir FK,24000,2021.0,181
1982,C. Álvarez,Cristian Darío Álvarez,33,75,Argentina,Real Zaragoza,8000,2020.0,203
1983,D. Brosinski,Daniel Brosinski,30,75,Germany,1. FSV Mainz 05,23000,2020.0,720
1984,F. Caputo,Francesco Caputo,31,75,Italy,Sassuolo,47000,2022.0,374
1985,Y. Bolasie,Yannick Bolasie Yala,30,75,DR Congo,Everton,63000,2021.0,366
1986,Jonathas,Jonathas de Jesus Maurício,30,75,Brazil,Hannover 96,30000,2020.0,68
1987,J. Durmaz,Jimmy Durmaz,30,75,Sweden,Galatasaray SK,53000,2022.0,684
1988,João Aurélio,João Miguel Coimbra Aurélio,30,75,Portugal,Moreirense FC,11000,2020.0,148
1989,B. Oczipka,Bastian Oczipka,30,75,Germany,FC Schalke 04,25000,2020.0,988
1990,J. Stanislas,Junior Stanislas,29,75,England,Bournemouth,55000,2021.0,457
1991,D. Santon,Davide Santon,28,75,Italy,Roma,34000,2022.0,939
1992,A. Prijović,Aleksandar Prijović,29,75,Serbia,Al Ittihad,39000,2023.0,350
1993,Éder,Éderzito António Macedo Lopes,31,75,Portugal,Lokomotiv Moscow,1000,2020.0,764
1994,Quique,Enrique González Casín,29,75,Spain,SD Eibar,24000,2024.0,329
1995,W. Bony,Wilfried Guemiand Bony,30,75,Ivory Coast,Côte d'Ivoire,0,,152
1996,Y. Salibur,Yannis Salibur,28,75,France,En Avant de Guingamp,10000,2020.0,837
