,height_cm,weight_kg,overall,player_positions,preferred_foot,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
4821,181,72,70,2,0,3,3,4,65.0,68.0,72.0,71.0,35.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,76,62,38,74,75,70,78,72,66,72,67,64,76,60,77,78,59,60,57,74,49,28,62,69,50,56,35,33,47,12,10,9,9,9
4822,186,75,70,2,1,3,2,6,64.0,31.0,55.0,59.0,71.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,34,27,67,68,35,56,35,29,58,65,60,67,60,66,53,40,68,75,76,23,66,76,35,60,45,58,71,70,68,13,12,13,14,6
4823,191,84,70,0,1,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,68.0,66.0,61.0,71.0,29.0,72.0,11,9,14,26,5,11,14,11,18,20,30,28,55,74,35,46,52,25,59,9,28,10,5,43,15,38,11,13,13,68,66,61,72,71
4824,170,69,70,2,0,4,3,4,82.0,67.0,63.0,73.0,32.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,64,70,61,66,51,75,61,42,59,71,83,81,73,57,79,69,62,58,56,66,31,28,67,67,55,58,28,32,26,14,6,13,10,13
4825,181,80,70,2,1,3,3,4,72.0,52.0,61.0,66.0,70.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,56,44,72,68,40,65,51,40,64,70,70,73,59,64,69,64,80,72,79,62,78,70,41,60,57,61,70,71,67,8,8,10,15,10
4826,173,72,70,1,1,3,3,0,90.0,66.0,63.0,70.0,49.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,64,63,53,68,65,71,68,58,53,68,88,91,78,64,66,74,53,68,73,66,69,34,64,61,60,61,56,56,30,7,13,7,12,15
4827,183,79,70,3,0,3,3,1,69.0,52.0,54.0,64.0,69.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,70,43,69,67,28,65,43,59,25,69,71,67,54,68,48,69,60,65,79,68,59,69,46,39,40,59,66,70,71,6,11,11,11,5
4828,187,71,70,3,0,2,2,4,64.0,37.0,56.0,66.0,71.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,62,32,63,64,37,66,37,42,53,68,63,65,62,70,62,36,66,67,68,41,63,67,54,47,45,55,72,75,69,11,15,6,6,7
4829,156,58,70,1,1,3,3,2,76.0,63.0,67.0,72.0,40.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,63,63,47,73,51,73,63,45,65,70,84,70,70,65,94,65,63,51,28,64,42,26,66,67,57,65,44,40,51,13,8,7,12,6
4830,174,70,70,3,1,3,2,4,76.0,50.0,58.0,67.0,68.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,65,47,67,61,41,65,47,41,59,67,76,76,73,59,75,59,86,79,71,49,73,75,55,51,47,67,62,67,71,12,6,7,8,7
4831,183,74,70,1,1,4,4,4,86.0,66.0,62.0,73.0,32.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,64,67,53,65,61,74,55,53,59,71,84,87,77,62,69,68,51,66,71,62,39,24,65,60,64,71,32,30,28,7,9,14,10,15
4832,189,85,70,3,1,2,2,3,60.0,42.0,42.0,45.0,71.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,37,38,71,54,37,43,37,39,43,48,56,63,46,50,39,57,69,60,79,41,72,65,30,28,42,56,68,76,74,5,10,12,12,10
4833,191,87,70,3,0,3,2,6,55.0,35.0,45.0,49.0,72.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,40,33,73,54,35,40,30,30,55,60,54,55,54,61,52,52,71,62,73,25,65,63,21,34,38,60,75,73,73,13,10,10,5,7
4834,176,68,70,2,1,3,3,4,63.0,53.0,66.0,71.0,58.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,52,55,51,76,44,69,50,40,72,75,59,67,67,70,73,52,54,61,58,51,50,58,66,68,45,64,62,57,52,14,8,7,12,9
4835,184,77,70,1,1,2,3,4,78.0,70.0,60.0,73.0,23.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,56,74,65,68,59,78,60,37,55,67,80,77,72,64,65,72,60,57,66,65,32,20,62,57,71,52,19,16,21,9,8,9,11,14
4836,177,68,70,2,1,3,2,1,75.0,65.0,67.0,69.0,33.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,72,65,54,72,61,69,66,46,70,70,77,74,70,64,72,70,58,66,60,64,59,34,62,58,52,63,33,26,29,11,7,5,6,13
4837,170,65,70,2,1,4,3,4,77.0,61.0,68.0,73.0,54.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,69,60,50,71,55,73,68,60,62,67,78,76,83,69,84,65,62,69,58,62,42,55,66,68,59,65,56,53,57,12,6,11,13,9
4838,175,72,70,2,1,3,2,4,70.0,53.0,61.0,62.0,68.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,54,48,60,70,49,59,46,50,69,63,69,70,66,67,72,63,79,84,77,59,80,69,47,53,45,67,72,67,65,12,11,9,12,9
4839,175,68,70,2,1,3,3,4,74.0,60.0,69.0,76.0,61.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,65,57,56,69,49,77,80,59,68,74,74,74,80,65,75,70,68,85,63,58,64,58,58,71,58,58,57,69,59,9,6,10,14,12
4840,177,76,70,2,1,3,3,3,74.0,64.0,65.0,71.0,66.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,55,61,64,71,51,72,52,53,69,71,75,74,73,63,74,74,81,80,78,66,75,68,57,69,57,68,60,68,72,16,9,6,11,9
4841,180,70,70,2,1,2,4,4,79.0,68.0,62.0,72.0,23.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,74,69,57,64,60,74,53,42,55,71,82,76,74,63,69,69,77,62,45,69,35,21,68,61,68,52,24,16,15,10,15,7,14,15
4842,178,62,70,3,1,3,2,1,76.0,54.0,65.0,69.0,66.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70,51,64,68,45,70,59,40,61,67,75,76,75,63,70,58,67,84,66,56,62,64,67,65,47,65,64,68,67,6,11,11,13,13
4843,170,72,70,2,1,3,3,4,61.0,62.0,67.0,74.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,56,60,45,75,40,71,57,39,73,76,62,60,78,65,83,73,66,61,60,67,57,59,59,67,50,73,62,64,62,11,13,15,13,15
4844,187,80,70,0,1,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,70.0,66.0,66.0,73.0,43.0,69.0,12,16,16,13,15,11,15,12,23,14,40,45,44,67,45,50,58,34,63,13,21,10,7,22,21,35,20,15,17,70,66,66,69,73
4845,182,74,70,3,0,2,2,4,73.0,43.0,56.0,58.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,66,28,64,67,37,53,37,23,54,62,71,74,60,65,69,73,72,74,65,44,68,69,59,43,35,64,70,74,72,10,10,5,9,11
4846,190,90,70,3,1,2,2,4,53.0,25.0,45.0,41.0,70.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,39,20,73,58,30,35,27,29,52,46,51,54,43,62,46,34,74,65,81,22,70,69,27,30,35,62,69,71,72,11,11,5,9,14
4847,188,70,70,3,0,3,2,3,66.0,33.0,50.0,42.0,72.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,36,32,73,66,30,34,33,28,63,51,65,67,50,58,45,44,76,68,77,25,58,69,28,37,41,60,75,71,69,8,12,11,9,6
4848,185,68,70,1,1,3,3,1,75.0,72.0,65.0,70.0,38.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,62,74,60,69,65,69,69,55,61,72,74,75,70,70,67,73,58,70,62,69,65,27,68,65,69,69,40,40,28,11,6,6,8,9
4849,184,74,70,0,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,71.0,67.0,69.0,71.0,23.0,70.0,10,9,11,23,6,9,14,13,16,15,21,24,37,61,43,52,56,40,38,9,16,14,6,32,17,51,21,11,12,71,67,69,70,71
4850,180,74,70,2,1,3,3,4,66.0,57.0,67.0,73.0,67.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,54,57,53,74,50,73,55,53,71,75,67,65,76,59,74,64,55,61,66,48,73,60,61,73,60,69,65,76,69,13,7,9,9,11
4851,178,71,70,2,1,3,3,4,73.0,53.0,68.0,71.0,67.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,75,50,59,70,48,72,72,44,69,72,73,73,69,69,70,62,35,63,49,47,62,65,59,64,65,63,66,70,71,8,10,5,6,13
4852,169,63,70,2,1,4,3,1,75.0,61.0,69.0,74.0,65.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,67,58,51,76,47,73,42,55,72,73,78,73,81,68,87,69,59,67,51,67,74,69,55,66,51,55,68,63,67,15,8,12,13,8
4853,182,72,70,2,1,3,2,4,68.0,51.0,65.0,70.0,68.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,58,44,57,72,56,69,56,45,68,73,65,70,67,66,72,63,69,67,73,52,71,70,55,63,50,65,71,68,65,12,10,5,12,9
4854,188,87,70,1,1,2,3,4,76.0,68.0,53.0,69.0,23.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,37,68,62,59,67,72,63,40,50,67,75,77,67,66,67,73,54,55,78,64,42,18,68,59,62,58,20,19,17,6,6,5,5,14
4855,170,63,70,1,1,4,3,2,78.0,65.0,65.0,73.0,33.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,65,65,60,67,68,72,68,69,61,72,81,76,81,70,78,67,74,69,54,66,41,28,64,64,59,58,29,33,32,5,14,5,9,6
4856,178,76,70,2,1,3,3,4,71.0,55.0,71.0,68.0,62.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,70,54,61,72,36,65,71,69,68,70,70,72,71,69,77,63,85,91,76,55,79,63,62,73,49,70,61,63,60,5,8,14,10,14
4857,184,77,70,2,1,3,3,4,78.0,64.0,68.0,70.0,62.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,63,63,38,72,69,70,64,58,68,71,74,82,63,72,71,69,55,68,73,62,58,64,67,67,52,69,64,66,63,15,7,12,14,8
4858,186,75,70,3,1,3,2,4,63.0,25.0,40.0,38.0,70.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,21,21,66,65,22,18,21,32,42,58,65,61,48,75,55,42,69,41,63,16,72,71,18,22,40,51,65,75,72,9,8,8,9,6
4859,194,86,70,3,1,3,2,4,50.0,30.0,47.0,42.0,69.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,31,26,70,68,31,41,34,30,54,44,39,59,31,63,38,40,61,64,88,28,64,63,27,28,44,58,68,74,68,15,14,13,9,10
4860,180,75,70,1,1,3,2,1,76.0,68.0,56.0,67.0,27.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,64,70,66,63,65,68,54,36,38,65,75,77,70,65,66,69,69,70,72,62,70,17,71,55,73,60,30,19,18,11,11,10,13,5
4861,182,70,70,2,1,3,3,4,73.0,65.0,65.0,75.0,44.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,61,66,59,67,56,75,57,53,66,75,74,73,80,61,71,64,75,65,70,65,54,43,64,68,60,64,40,45,40,9,7,14,7,14
4862,181,73,70,2,1,4,3,4,70.0,46.0,62.0,70.0,64.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,43,40,41,73,41,67,46,37,70,74,69,70,75,70,70,47,61,74,70,56,68,70,59,65,47,64,63,69,64,8,14,12,11,7
4863,183,72,70,2,1,3,3,4,62.0,56.0,59.0,65.0,72.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,43,53,70,68,45,66,49,36,66,66,63,62,58,69,63,66,78,61,74,58,74,71,58,62,43,66,72,72,72,14,8,11,8,14
4864,183,75,70,1,1,3,3,1,74.0,68.0,54.0,66.0,37.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,42,72,70,63,66,64,55,49,46,66,76,72,73,71,64,65,73,69,66,60,56,32,72,55,65,64,37,33,30,9,13,9,8,14
4865,186,76,70,0,1,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,71.0,68.0,72.0,71.0,46.0,70.0,18,14,17,16,13,13,17,14,15,32,45,46,43,61,55,54,59,41,56,15,23,12,16,39,22,42,12,19,15,71,68,72,70,71
4866,185,68,70,2,1,2,3,3,62.0,56.0,65.0,68.0,67.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,58,53,54,72,62,69,56,52,71,67,69,57,63,68,69,63,48,70,52,58,84,67,44,60,59,63,68,70,71,14,9,10,10,9
4867,173,70,70,1,0,2,3,1,78.0,62.0,65.0,69.0,65.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,78,56,58,67,56,66,80,78,57,69,79,77,80,63,84,77,67,82,59,70,72,64,59,49,42,66,65,65,69,15,12,12,13,7
4868,202,92,70,0,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,78.0,70.0,43.0,69.0,18,20,12,31,16,15,55,59,30,18,40,45,37,66,38,59,58,33,73,45,34,21,12,50,24,65,11,15,19,69,69,78,69,70
4869,175,68,70,2,1,4,3,2,74.0,63.0,65.0,75.0,41.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,63,63,55,65,61,77,65,63,63,73,76,72,78,64,75,66,58,65,62,62,47,31,66,71,57,71,37,46,46,7,16,9,11,16
4870,180,70,70,1,1,3,3,1,74.0,66.0,68.0,74.0,42.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,65,68,61,71,55,73,66,63,69,71,76,72,83,68,80,71,76,74,63,62,75,45,67,66,60,64,35,43,38,15,15,15,7,10
4871,179,64,70,2,1,3,3,0,82.0,63.0,65.0,70.0,57.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,67,67,42,66,48,69,64,48,64,68,80,83,86,65,67,62,63,85,54,64,53,63,58,67,44,70,50,62,63,15,16,13,13,8
4872,185,87,70,0,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,72.0,64.0,68.0,75.0,42.0,64.0,17,14,16,25,13,13,13,17,22,18,43,42,37,71,43,51,58,31,68,15,26,23,17,28,23,34,18,18,17,72,64,68,64,75
4873,177,71,70,1,1,4,3,1,81.0,45.0,64.0,68.0,61.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,66,42,39,68,46,64,67,41,61,68,80,82,82,68,78,54,63,80,58,40,70,65,63,60,45,66,62,65,64,7,13,6,13,13
4874,180,79,70,1,0,3,3,5,91.0,66.0,59.0,72.0,26.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,55,69,64,65,51,72,54,34,57,71,89,92,78,65,75,67,66,69,72,63,37,14,65,60,62,59,26,22,22,7,7,13,6,9
4875,183,72,70,1,1,3,3,1,82.0,68.0,61.0,70.0,37.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,51,72,58,68,61,70,47,32,57,69,83,81,79,62,74,66,75,71,70,64,55,30,69,72,70,63,34,39,35,12,9,14,8,15
4876,174,75,70,3,1,3,2,4,76.0,36.0,55.0,66.0,69.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,67,36,62,67,31,65,40,40,37,70,74,77,61,65,63,34,57,68,60,31,58,67,49,44,61,62,69,71,70,10,13,15,15,9
4877,189,83,70,2,0,4,2,0,66.0,35.0,64.0,63.0,68.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,74,26,66,65,33,62,62,34,67,67,62,70,57,65,61,45,63,78,78,36,72,67,62,58,42,64,64,71,70,10,12,7,7,7
4878,174,74,70,1,0,2,3,4,77.0,64.0,62.0,73.0,55.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,66,70,61,62,46,74,45,44,59,72,79,75,74,61,69,69,65,68,71,52,70,52,72,70,49,68,61,50,51,14,6,7,10,6
4879,183,77,70,2,1,3,3,4,53.0,48.0,65.0,65.0,68.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,61,40,56,72,40,64,55,64,64,68,53,53,62,68,57,59,65,72,70,60,70,72,32,62,47,68,65,71,68,14,15,13,13,10
4880,184,80,70,1,1,3,3,5,80.0,63.0,62.0,74.0,33.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,64,64,55,64,60,78,55,58,59,70,77,82,70,68,73,68,49,65,65,56,51,33,71,60,59,63,26,33,32,15,11,6,13,10
4881,182,70,70,2,1,3,3,4,87.0,60.0,62.0,74.0,27.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,70,63,53,68,55,76,64,42,52,70,86,88,79,63,74,64,66,52,53,53,37,31,62,57,52,58,17,26,29,15,6,13,11,11
4882,190,82,70,3,1,3,2,1,65.0,39.0,62.0,69.0,70.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,32,23,68,72,28,71,62,70,70,70,64,65,64,62,55,63,71,61,74,52,66,65,40,66,46,68,69,74,68,12,13,15,13,11
4883,177,69,70,2,1,3,4,1,67.0,55.0,66.0,74.0,46.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,57,54,48,71,51,73,65,55,66,74,69,65,84,70,75,58,54,65,50,51,35,47,70,68,60,67,39,54,38,14,9,6,10,11
4884,187,82,70,2,1,3,2,4,62.0,33.0,51.0,56.0,69.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,31,29,70,68,23,52,21,35,64,63,64,60,47,63,66,46,70,65,78,26,72,65,38,42,42,66,70,69,71,12,10,8,7,7
4885,188,88,70,0,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,72.0,70.0,60.0,68.0,52.0,67.0,13,12,15,12,15,11,13,12,20,10,52,52,60,67,42,45,62,34,55,15,30,12,10,42,11,48,16,12,10,72,70,60,67,68
4886,173,68,70,3,1,2,3,3,78.0,40.0,58.0,70.0,66.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,58,32,52,72,37,70,44,34,53,67,76,79,75,68,81,55,65,85,74,38,82,69,54,49,40,59,62,71,67,5,14,8,15,9
4887,183,79,70,1,0,4,2,1,84.0,64.0,61.0,69.0,30.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,55,67,68,67,52,68,56,42,61,68,83,84,77,65,67,67,78,75,77,57,65,31,72,63,54,60,23,25,22,7,7,12,6,14
4888,178,71,70,2,1,2,3,0,63.0,57.0,68.0,69.0,58.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,58,53,51,73,59,68,64,60,74,71,65,61,67,73,68,69,52,83,59,51,66,58,62,70,56,76,63,57,48,11,13,14,8,11
4889,180,82,70,1,1,2,3,4,67.0,68.0,56.0,69.0,26.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,51,74,68,64,62,68,47,34,52,73,69,65,73,63,53,69,74,63,74,59,31,17,72,57,52,66,28,17,19,13,9,13,7,13
4890,178,70,70,2,0,3,3,0,62.0,57.0,69.0,71.0,54.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,69,59,45,73,45,71,52,45,70,73,65,59,72,63,71,62,53,69,60,52,47,37,69,72,44,61,63,59,56,6,10,10,6,13
4891,183,80,70,3,1,3,2,4,54.0,31.0,47.0,53.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,33,25,65,68,32,51,38,31,48,58,53,54,42,61,64,48,69,63,69,27,69,70,27,32,41,62,69,75,74,12,7,15,15,7
4892,197,82,70,0,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,73.0,69.0,71.0,70.0,19.0,65.0,11,8,13,22,5,14,10,12,24,16,21,18,36,67,21,53,37,17,74,9,18,10,7,32,16,50,18,12,10,73,69,71,65,70
4893,171,64,70,1,1,3,4,1,89.0,59.0,59.0,76.0,36.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,64,56,62,65,52,75,48,44,43,73,86,91,90,68,89,76,64,73,43,48,58,21,65,61,60,73,21,51,42,9,7,9,15,9
4894,189,79,70,3,1,2,2,4,67.0,37.0,47.0,54.0,70.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,31,38,70,62,28,49,24,28,47,56,66,68,65,64,56,48,75,72,73,29,71,66,28,46,32,68,72,68,74,10,9,12,11,14
4895,169,67,70,1,1,3,4,1,88.0,66.0,61.0,72.0,29.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,61,66,49,63,63,71,61,65,53,70,92,85,83,66,86,67,58,72,47,65,37,24,66,64,64,59,21,34,27,10,9,15,9,11
4896,184,78,70,2,1,4,3,1,72.0,64.0,67.0,68.0,62.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,59,58,69,72,66,71,55,58,70,72,73,71,52,62,60,80,57,83,78,60,70,61,70,70,65,80,58,64,60,14,13,12,14,12
4897,180,75,70,1,1,3,3,3,72.0,68.0,49.0,69.0,26.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,36,71,66,62,61,71,48,42,41,68,69,74,65,61,63,70,66,57,77,62,53,22,70,46,64,54,28,17,14,11,10,15,14,10
4898,178,77,70,2,1,3,2,4,64.0,59.0,68.0,68.0,69.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,59,51,59,76,43,65,60,47,69,72,64,64,71,72,62,74,54,64,69,69,75,70,58,68,51,64,68,72,68,9,13,5,15,12
4899,184,87,70,1,0,3,3,4,71.0,68.0,48.0,65.0,38.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,34,69,72,55,65,63,60,36,45,68,69,72,70,64,66,78,77,62,89,57,62,31,65,52,73,74,41,32,30,13,15,15,12,14
4900,188,70,70,0,1,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,69.0,72.0,68.0,72.0,43.0,67.0,10,12,11,36,7,11,9,11,20,20,43,43,34,65,44,51,54,34,56,11,22,20,14,55,12,54,13,11,9,69,72,68,67,72
4901,172,66,70,2,0,2,3,4,68.0,58.0,67.0,74.0,38.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,62,55,47,71,50,74,66,59,60,72,72,64,80,64,80,49,63,66,40,72,47,33,68,70,57,68,34,42,36,9,14,15,14,16
4902,175,80,70,2,1,3,3,4,73.0,57.0,64.0,66.0,66.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,59,51,58,71,63,64,62,59,65,67,73,73,73,63,70,69,65,87,73,58,85,64,52,59,54,63,66,68,67,14,8,9,15,9
4903,168,72,70,1,1,3,3,1,80.0,66.0,66.0,71.0,55.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,67,69,27,70,33,71,56,47,65,68,82,79,80,63,74,70,57,74,66,68,55,59,67,68,56,66,55,61,59,14,9,8,10,8
4904,191,85,70,0,1,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,74.0,72.0,75.0,70.0,44.0,68.0,14,19,15,25,12,13,20,15,19,23,41,46,34,55,43,56,58,38,75,18,24,27,16,50,23,52,15,13,17,74,72,75,68,70
4905,183,78,70,2,1,2,3,4,62.0,59.0,68.0,69.0,54.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,60,56,47,74,48,66,67,63,73,73,55,67,71,63,75,68,59,90,72,62,72,53,62,64,50,73,51,60,52,13,14,12,10,16
4906,180,70,70,3,1,3,3,4,76.0,51.0,59.0,67.0,67.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,66,46,52,65,38,65,59,26,59,68,75,76,69,64,70,63,65,72,56,58,61,67,54,49,33,54,66,70,73,11,15,9,7,6
4907,178,76,70,2,0,3,3,4,78.0,62.0,66.0,75.0,39.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,72,62,51,70,55,77,69,46,62,74,77,78,76,60,76,70,47,56,46,55,33,36,60,58,59,62,39,38,34,15,6,10,10,7
4908,195,85,70,0,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,72.0,69.0,72.0,71.0,46.0,67.0,15,20,15,28,19,15,13,17,17,21,51,41,43,65,46,54,56,27,68,15,21,21,17,28,23,51,8,17,16,72,69,72,67,71
4909,185,70,70,3,1,3,3,1,72.0,40.0,55.0,68.0,70.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,62,23,62,67,36,66,42,30,61,70,75,69,72,65,67,58,75,76,71,57,77,74,54,31,42,62,70,70,70,7,15,9,10,15
4910,175,71,70,3,1,4,3,1,69.0,38.0,62.0,66.0,68.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,68,35,53,71,20,66,38,18,58,64,72,67,71,66,70,43,61,83,62,36,58,69,61,58,41,50,68,72,67,6,12,8,12,13
4911,181,79,70,1,1,4,2,2,69.0,68.0,47.0,65.0,27.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,38,72,71,54,52,64,51,48,40,69,70,68,57,71,60,71,83,65,74,59,36,18,73,49,70,64,32,17,17,10,11,6,9,12
4912,190,86,70,1,1,3,3,4,66.0,67.0,50.0,64.0,25.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,38,70,72,59,66,64,64,33,42,68,65,67,55,65,58,71,69,58,86,61,64,22,70,54,55,59,18,21,17,11,13,14,14,15
4913,175,61,70,2,1,3,2,4,83.0,47.0,62.0,70.0,64.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,63,45,67,71,41,70,51,45,61,67,84,83,79,63,85,57,73,84,65,41,59,71,57,55,49,53,57,63,67,15,14,13,9,7
4914,185,77,70,2,1,2,2,4,56.0,33.0,60.0,62.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,49,28,69,70,35,59,50,29,66,68,58,54,55,68,59,47,75,68,74,23,68,67,50,57,40,64,69,75,70,11,12,14,9,12
4915,184,76,70,3,1,3,3,1,87.0,48.0,56.0,67.0,67.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65,60,62,66,25,66,38,29,55,68,86,88,71,66,65,49,60,72,63,25,60,67,44,43,49,59,66,69,65,10,5,12,14,6
4916,189,86,70,1,1,3,3,5,77.0,67.0,62.0,68.0,37.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,59,68,72,68,64,70,62,42,55,66,74,79,68,62,68,77,73,74,82,56,74,21,65,64,73,58,40,38,22,13,6,10,11,11
4917,195,90,70,0,1,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,71.0,68.0,71.0,72.0,16.0,66.0,11,6,10,25,8,13,12,11,25,14,17,16,23,64,21,53,32,17,67,6,23,7,7,28,16,28,15,14,14,71,68,71,66,72
4918,172,65,70,2,0,3,3,1,74.0,66.0,67.0,76.0,36.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,67,65,44,69,69,75,73,66,64,74,75,74,87,63,83,70,69,69,54,67,69,30,63,63,61,67,30,42,43,7,10,9,13,12
4919,175,67,70,2,1,4,3,1,72.0,62.0,69.0,69.0,65.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,74,58,57,71,51,67,54,57,68,70,73,72,73,69,78,75,75,80,56,63,62,66,64,70,42,68,62,68,68,8,13,15,11,9
4920,177,70,70,2,0,3,3,4,74.0,60.0,73.0,71.0,42.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,70,56,38,75,65,70,77,75,70,73,73,74,71,63,82,67,36,69,61,61,42,25,64,71,48,57,68,30,33,13,14,13,7,14
